Well,Cycle,BLUE,GREEN,YELLOW,RED
H1,6,43997,17847,8663,3930
H2,6,47770,19337,9344,4229
H3,6,104110,43454,21162,9419
H4,6,96011,38962,18000,7084
H5,6,97599,39259,17904,6706
H6,6,102486,41319,18713,7096
H7,6,102537,42414,20523,8683
H8,6,97405,38666,17314,6345
H9,6,96564,39107,17864,6730
H10,6,102435,41342,18978,7430
H11,6,85450,35850,16468,6382
H12,6,82766,33333,15079,5709
A1,7,39669,15936,7755,3583
A2,7,38486,15359,7361,3299
A3,7,76694,29945,13441,5055
A4,7,87168,34223,15479,5915
A5,7,84314,32893,14714,5481
A6,7,94859,36988,16465,6066
A7,7,93749,36640,16426,6177
A8,7,80660,31876,14473,5494
A9,7,79844,31583,14263,5432
A10,7,88897,35123,15754,5956
A11,7,80732,32050,14355,5278
A12,7,88771,35102,15442,5471
B1,7,33114,13482,6773,3296
B2,7,36421,14900,7580,3756
B3,7,78244,30690,13755,5137
B4,7,88464,34747,15891,6285
B5,7,86078,34007,15602,6101
B6,7,85633,33742,15245,5788
B7,7,96550,38173,17344,6626
B8,7,91985,36407,16490,6316
B9,7,82761,33607,15281,5822
B10,7,96157,38084,17102,6439
B11,7,78958,31494,14155,5287
B12,7,110299,43588,19787,8322
C1,7,40006,16125,8037,3867
C2,7,35987,14329,6886,3077
C3,7,87456,34250,15464,5908
C4,7,91738,36069,16186,5874
C5,7,93308,36411,16380,6240
C6,7,98207,38381,17294,6550
C7,7,93830,36421,16160,5948
C8,7,86074,34098,15563,5985
C9,7,89060,35267,15996,6068
C10,7,82443,32686,14753,5493
C11,7,92406,36571,16602,6404
C12,7,104797,41808,18969,7223
D1,7,40282,16365,8176,4072
D2,7,41186,16646,8259,3917
D3,7,90634,35875,16561,6725
D4,7,89758,35386,16170,6337
D5,7,99459,38983,17685,6822
D6,7,98299,38909,17883,7085
D7,7,91242,36057,16518,6505
D8,7,89004,35185,16042,6222
D9,7,91853,36447,16592,6394
D10,7,90069,35505,15868,5914
D11,7,89736,35779,16307,6608
D12,7,103567,41511,18722,6920
E1,7,37761,15222,7432,3403
E2,7,41862,16978,8428,3986
E3,7,93085,36717,16661,6399
E4,7,93579,36621,16516,6336
E5,7,97718,38598,17605,6868
E6,7,95176,37582,17165,6683
E7,7,98119,38352,17288,6590
E8,7,100742,39346,17550,6564
E9,7,86397,34538,15619,5816
E10,7,91130,36061,16288,6208
E11,7,87682,34848,15771,6050
E12,7,107659,42832,19337,7303
F1,7,38084,15610,7838,3810
F2,7,37244,15020,7346,3387
F3,7,83608,33004,15032,5852
F4,7,84575,33538,15368,6049
F5,7,89463,35399,16117,6188
F6,7,96709,38003,17114,6494
F7,7,93175,36543,16435,6217
F8,7,95170,37337,16807,6329
F9,7,97518,38327,17085,6193
F10,7,92985,36845,16589,6301
F11,7,82755,32956,14884,5693
F12,7,110667,43914,19705,7279
G1,7,40181,16207,7842,3522
G2,7,42210,17051,8276,3759
G3,7,81586,32573,14988,5834
G4,7,89644,35680,16512,6700
G5,7,90729,35993,16420,6308
G6,7,84868,33853,15700,6269
G7,7,90778,35761,16134,6109
G8,7,88795,34810,15734,6053
G9,7,89884,35578,15998,5916
G10,7,91529,36280,16354,6141
G11,7,94580,37516,16786,6205
G12,7,118747,48479,23215,9981
H1,7,44023,17877,8673,3937
H2,7,47920,19448,9393,4233
H3,7,103897,43343,21122,9407
H4,7,95949,38934,17978,7091
H5,7,97450,39168,17850,6714
H6,7,102018,41128,18659,7058
H7,7,102229,42274,20445,8650
H8,7,97352,38652,17300,6366
H9,7,96610,39154,17879,6754
H10,7,102138,41235,18934,7420
H11,7,85788,36227,16672,6473
H12,7,82609,33246,15045,5704
A1,8,39707,15963,7746,3586
A2,8,38644,15429,7404,3328
A3,8,76840,30001,13476,5088
A4,8,87340,34305,15544,5941
A5,8,84522,33002,14782,5531
A6,8,95012,37056,16513,6062
A7,8,93800,36655,16456,6184
A8,8,80603,31867,14495,5539
A9,8,79838,31604,14294,5438
A10,8,89123,35205,15822,5974
A11,8,80616,32002,14352,5286
A12,8,88630,35063,15422,5489
B1,8,33697,13738,6927,3374
B2,8,36416,14889,7593,3776
B3,8,78367,30759,13828,5178
B4,8,88427,34749,15884,6308
B5,8,85892,33961,15589,6125
B6,8,85806,33813,15297,5811
B7,8,96549,38190,17378,6644
B8,8,92025,36425,16531,6356
B9,8,83319,33854,15437,5919
B10,8,96263,38139,17153,6480
B11,8,79240,31626,14231,5325
B12,8,110319,43613,19831,8326
C1,8,40404,16298,8112,3923
C2,8,36040,14372,6920,3116
C3,8,87364,34237,15452,5915
C4,8,91556,36033,16161,5904
C5,8,93439,36485,16441,6287
C6,8,98340,38444,17325,6601
C7,8,94021,36521,16208,5970
C8,8,86048,34073,15591,6014
C9,8,89051,35269,16031,6096
C10,8,82437,32687,14757,5520
C11,8,92694,36700,16677,6455
C12,8,104782,41815,18985,7244
D1,8,40245,16348,8166,4060
D2,8,41468,16759,8316,3941
D3,8,90808,35972,16631,6738
D4,8,89624,35347,16138,6312
D5,8,99353,38953,17683,6816
D6,8,98348,38948,17906,7097
D7,8,91455,36134,16582,6514
D8,8,88904,35142,16029,6241
D9,8,92041,36544,16654,6455
D10,8,90110,35520,15896,5961
D11,8,89902,35859,16356,6647
D12,8,103294,41402,18697,6915
E1,8,37936,15300,7465,3427
E2,8,42199,17143,8512,4018
E3,8,92854,36643,16645,6380
E4,8,93955,36768,16603,6393
E5,8,97165,38365,17542,6855
E6,8,95278,37651,17195,6726
E7,8,98798,38620,17427,6648
E8,8,100475,39238,17512,6534
E9,8,86708,34675,15695,5886
E10,8,91179,36072,16284,6219
E11,8,87935,34940,15832,6071
E12,8,107566,42780,19324,7318
F1,8,38182,15656,7876,3813
F2,8,37299,15038,7361,3412
F3,8,83243,32868,14952,5822
F4,8,84737,33640,15425,6095
F5,8,89482,35416,16126,6217
F6,8,96929,38112,17199,6541
F7,8,93436,36637,16495,6263
F8,8,94585,37123,16702,6311
F9,8,97685,38411,17141,6241
F10,8,92956,36827,16597,6320
F11,8,82767,32930,14918,5724
F12,8,110444,43840,19680,7288
G1,8,40082,16204,7845,3538
G2,8,42537,17180,8382,3809
G3,8,81928,32694,15072,5889
G4,8,89437,35608,16484,6706
G5,8,90655,35972,16432,6345
G6,8,84872,33873,15745,6270
G7,8,90339,35589,16065,6103
G8,8,88663,34762,15725,6078
G9,8,89808,35553,15992,5925
G10,8,91393,36228,16371,6152
G11,8,94872,37634,16851,6232
G12,8,118678,48455,23188,9984
H1,8,43977,17860,8690,3940
H2,8,47951,19428,9401,4262
H3,8,103763,43280,21102,9426
H4,8,95956,38923,18015,7114
H5,8,97490,39194,17894,6725
H6,8,101704,41011,18611,7052
H7,8,101964,42155,20400,8651
H8,8,97478,38703,17337,6396
H9,8,96402,39049,17859,6740
H10,8,102110,41210,18938,7441
H11,8,85338,36035,16611,6470
H12,8,82749,33304,15117,5735
A1,9,39917,16045,7785,3609
A2,9,38801,15489,7462,3336
A3,9,76937,30057,13510,5124
A4,9,87466,34374,15584,5961
A5,9,84547,33023,14808,5536
A6,9,95106,37110,16534,6102
A7,9,93972,36714,16496,6225
A8,9,80740,31929,14529,5525
A9,9,80131,31726,14341,5475
A10,9,89311,35266,15862,5991
A11,9,80566,31969,14319,5309
A12,9,88748,35106,15445,5484
B1,9,34018,13865,6998,3424
B2,9,36504,14949,7615,3792
B3,9,78249,30737,13824,5196
B4,9,88647,34850,15949,6335
B5,9,85666,33877,15558,6126
B6,9,85773,33798,15291,5827
B7,9,96622,38198,17402,6648
B8,9,91905,36392,16522,6337
B9,9,83132,33784,15398,5906
B10,9,96254,38130,17153,6494
B11,9,79027,31505,14178,5332
B12,9,110210,43553,19794,8314
C1,9,40519,16360,8160,3927
C2,9,36164,14444,6949,3113
C3,9,87459,34284,15493,5963
C4,9,91559,36038,16186,5913
C5,9,94058,36749,16571,6361
C6,9,98459,38453,17357,6597
C7,9,94045,36561,16210,5973
C8,9,85855,34026,15557,6007
C9,9,89407,35421,16095,6131
C10,9,82333,32681,14754,5516
C11,9,92839,36763,16689,6459
C12,9,104629,41731,18964,7229
D1,9,40218,16340,8144,4060
D2,9,41615,16828,8358,3977
D3,9,90979,36059,16667,6779
D4,9,89921,35495,16218,6385
D5,9,99954,39221,17822,6878
D6,9,98517,39003,17950,7141
D7,9,91631,36197,16607,6544
D8,9,88995,35179,16036,6251
